Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,data_eligible,matched_locations,translated_sentence_en,matched_locations_en
0,0,0,"विद्या भट्टराई भन्छिन्– त्यसदिन मैले उहाँ (रवीन्द्र) लाई शुभयात्रा पनि भन्‍न पाइनँ 
पोखरा",Yes,['पोखरा'],"Vidya Bhattarai says – That day, I didn't even get to wish him (Rabindra) a good journey.",['Pokhara']
1,1,1,फागुन १५ गते ताप्लेजुङमा भएको विमान दुर्घटनामा ज्यान गुमाएपछि स्व. अधिकारीको मालेपाटनस्थित घर मौन छ,Yes,"[ 'पाटन', 'ताप्लेजुङ']","After losing his life in the plane crash in Taplejung on February 27th, the home of the late Adhikari in Malepatan is silent.","['Patan', 'Taplejung']"
2,2,2,छिरिङ ताप्लेजुङ जाने एक दिन अगाडिसम्म पनि हामी गल्फ खेलिरहेका थियौं,Yes,[ 'ताप्लेजुङ'],"Chhiring, even the day before going to Taplejung, we were playing golf.",['Taplejung']
3,3,3,ऊ पाइलापाइलामा विजनेस पनि देख्ने मान्छे,Yes,['इलाम'],He is the kind of person who sees business in every step.,['Ilam']
4,4,4,"त्यसैले म भन्छु, ताप्लेजुङ दुर्घटनाले तीन क्षेत्रका खम्बा गुमाएको छ",Yes,[ 'ताप्लेजुङ'],"That's why I say, the Taplejung accident has lost pillars of three sectors.",['Taplejung']
5,5,5,गुल्मीको दर्लिनबाट बुटवलतर्फ जाँदै गरेको लु १ ज १९५७ नम्बरको जीप मुसिकोट नगरपालिका-१ च्यानडाँडामा बिहीबार बिहान झण्डै साढे ७ बजे जीप दुर्घटना हुँदा कांग्रेस नेता भण्डारीसँगै अन्य दुई जनाको पनि ज्यान गएको हो,Yes,['मुसिकोट'],"On Thursday morning, at around 7:30 AM, a jeep with number Lu 1 Ja 1957, going from Darling of Gulmi towards Butwal, crashed in Chyanadanda of Musikot Municipality-1, resulting in the death of Congress leader Bhandari along with two other people.",['Musikot']
6,6,6,गुल्मीको धुर्कोट गाउँपालिका अर्न्तगत पर्ने वस्तु निवासी नेता भण्डारी २०४८ सालको आमनिर्वाचनमा कांग्रेसका तर्फबाट गुल्मी निर्वाचन क्षेत्र नं. ३ बाट प्रतिनिधिसभामा निर्वाचित भएका थिए,Yes,['धुर्कोट'],"Leader Bhandari, a resident of Bastu, which falls under Dhurkot Rural Municipality of Gulmi, was elected to the House of Representatives from Gulmi Constituency No. 3 on behalf of the Congress in the general election of 2048 BS.",['Dhurkot']
7,7,7,भारतबाटसमेत दमकल ल्याएर आगो नियन्त्रणमा ल्याइएको थियो रे,Yes,['दमक'],It is said that fire trucks were brought even from India to control the fire.,['Damak']
8,8,8,"तर, चुनावी मैदानमा होमिन उहाँ चाहनुभएन",Yes,['मैदान'],"But, he didn't want to enter the election fray.",['Maidan (Field/Plain)']
9,9,9,उहाँले सोनापुरमा पनि जुटमिल खोल्नुभयो,Yes,['सोनापुर'],He also opened a jute mill in Sonapur.,['Sonapur']
10,10,10,"भारतका प्रधानमन्त्री नरेन्द्र मोदीको दोस्रो कार्यकालको शपथ ग्रहणका ... 
सुरुङ्गा (झापा)",Yes,['सुरुङ्गा'],"The swearing-in ceremony of the second term of the Prime Minister of India, Narendra Modi...",['Surunga']
11,11,11,सिन्धुपाल्चोक फुल्पिङकोटको कल्लेरी डाँडोमा एक तमासको सिरेटो चल्थ्यो,Yes,['कल्लेरी'],"A continuous cold wind blew in Kalleri Danda of Fulpingkot, Sindhupalchok.",['Kalleri']
12,12,12,फाँटभरि सेताम्य पोखिएको तुसारोले भक्तपुरमा चिसो बढेको प्रतीत हुन्छ,Yes,['भक्तपुर'],The frost spread all over the field gives the impression that the cold has increased in Bhaktapur.,['Bhaktapur']
13,13,13,"कविता प्रतियोगिता मात्र होइन, हाजिरी जवाफ प्रतियोगितामा समेत जिल्लामा कसैले उनलाई उछिन्न सक्दैनथ्यो",Yes,['जिरी'],"Not only in poetry competitions, but also in quiz competitions, no one in the district could surpass him.",['Jiri']
14,14,14,०३७ सालतिर उनले ‘सरस्वती बन्दना’ शीर्षकमा कविता लेखेका थिए,Yes,['सरस्वती'],"Around 2037 BS, he wrote a poem titled 'Saraswati Vandana'.",['Saraswati']
15,15,15,"” 
सिन्धुपाल्चोक फुल्पिङकोटको कल्लेरी डाँडोमा एक तमासको सिरेटो चल्थ्यो",Yes,['कल्लेरी'],"""",['Kalleri']
16,16,16,फाँटभरि सेताम्य पोखिएको तुसारोले भक्तपुरमा चिसो बढेको प्रतीत हुन्छ,Yes,['भक्तपुर'],The frost spread all over the field gives the impression that the cold has increased in Bhaktapur.,['Bhaktapur']
17,17,17,"कविता प्रतियोगिता मात्र होइन, हाजिरी जवाफ प्रतियोगितामा समेत जिल्लामा कसैले उनलाई उछिन्न सक्दैनथ्यो",Yes,['जिरी'],"Not only in poetry competitions, but also in quiz competitions, no one in the district could surpass him.",['Jiri']
18,18,18,०३७ सालतिर उनले ‘सरस्वती बन्दना’ शीर्षकमा कविता लेखेका थिए,Yes,['सरस्वती'],"Around 2037 BS, he wrote a poem titled 'Saraswati Vandana'.",['Saraswati']
19,20,20,"सीबीआईका दुई टोली समेत झण्डै आधा दर्जन छानवीन समिति बनाएर पनि दोषी लुक्न पाउनुमा, नेमकिपाका अध्यक्ष नारायणमान विजुक्छेले दावा गरे जस्तै ‘सरकारले नै दोषी लुकाएको’ शंका हुने नै भयो",Yes,"['दावा', 'नारायण']","Even after forming two teams of CBI and almost half a dozen investigation committees, the suspicion that 'the government itself is hiding the culprit' as claimed by Narayanman Bijukchhe, chairman of Nepal Workers Peasants Party (NWPP), becomes certain when the culprit is able to hide.","['Dawa', 'Narayan']"
20,21,21,"झण्डै उस्तै, काजी नारायण श्रेष्ठको घुर्कीको फिर्ती जस्तै",Yes,['नारायण'],"Almost the same, like the return of Kaji Narayan Shrestha's threat.",['Narayan']
21,22,22,त्यहाँभित्र दावानल छ,Yes,['दावा'],There is wildfire within.,['Dawa']
22,23,23,"सीबीआईका दुई टोली समेत झण्डै आधा दर्जन छानवीन समिति बनाएर पनि दोषी लुक्न पाउनुमा, नेमकिपाका अध्यक्ष नारायणमान विजुक्छेले दावा गरे जस्तै ‘सरकारले नै दोषी लुकाएको’ शंका हुने नै भयो",Yes,"['दावा', 'नारायण']","Even after forming two teams of CBI and almost half a dozen investigation committees, the suspicion that 'the government itself is hiding the culprit' as claimed by Narayanman Bijukchhe, chairman of Nepal Workers Peasants Party (NWPP), becomes certain when the culprit is able to hide.","['Dawa', 'Narayan']"
23,24,24,"झण्डै उस्तै, काजी नारायण श्रेष्ठको घुर्कीको फिर्ती जस्तै",Yes,['नारायण'],"Almost the same, like the return of Kaji Narayan Shrestha's threat.",['Narayan']
24,25,25,त्यहाँभित्र दावानल छ,Yes,['दावा'],There is wildfire within.,['Dawa']
25,26,26,पोखरा,Yes,['पोखरा'],Pokhara,['Pokhara']
26,27,27,उक्त ट्रफी शनिबार विहान पोखरा ल्याइपुर्याइएको थियो,Yes,['पोखरा'],The trophy was brought to Pokhara on Saturday morning.,['Pokhara']
27,28,28,आईसीसी ट्रफी पोखरा रंगशालामा आयोजना गरिएको पीपीएलको मैदानमा प्रदर्शनमा राखिएको थियो,Yes,"['मैदान', 'पोखरा']",The ICC trophy was put on display at the PPL ground organized at Pokhara Stadium.,"['Maidan (Field/Plain)', 'Pokhara']"
28,29,29,इलाम र पाँचथर जिल्लाका विभिन्न सीमावर्ती क्षेत्रबाट प्याराग्लाइडिङको परीक्षण उडान सफल भएको छ,Yes,['इलाम'],The test flight of paragliding has been successful from various border areas of Ilam and Panchthar districts.,['Ilam']
29,30,30,"प्याकेज १ अन्तर्गत आयोजनाको मुख्य बाँध र नदी फर्काउनका लागि अस्थायी बाँध निर्माणका लागि भारतको जयप्रकाश एशोसियट्स लिमिटेड, सोङदा कर्पोरेशन/कालिका कन्ट्रक्सन जेभी, एससीसी डोकास इन्ट्रिगेडेड, चाइना गेजुवा ग्रुप लिमिटेड र सीएमसी डी रेभेना इटालीले प्रतिस्पर्धामा भाग लिने पाउनेछन्",Yes,['कालिका'],"Under package 1, for the construction of the main dam of the project and a temporary dam to divert the river, Jayaprakash Associates Limited of India, Songda Corporation/Kalika Construction JV, SCC Dokas Intrigated, China Gejuwa Group Limited, and CMC D Ravenna Italy will be eligible to participate in the competition.",['Kalika']
30,31,31,आयोजनाबाट उत्पादन हुने बिजुली तनहुँको दमौलीबाट ३९ किलोमिटर लामो २२० केभी प्रसारणलाइनको निर्माण गरी भरतपुर पुर्याइनेछ,Yes,['भरतपुर'],The electricity generated from the project will be delivered to Bharatpur by constructing a 39-kilometer-long 220 kV transmission line from Damauli in Tanahun.,['Bharatpur']
31,32,32,पक्राउ पर्नेमा जोरपाटी बस्ने सिन्धुली दुधौली नगरपालिका–५ का २२ वर्षीय तेज अधिकारी र दोलखा झ्याकु गौरीशंकर गाउँपालिका–४ का ३४ वर्षीय बिक्रम तामाङ रहेका छन्,Yes,['गौरीशंकर'],"Those arrested are 22-year-old Tej Adhikari of Sindhuli Dudhauli Municipality-5, who resides in Jorpati, and 34-year-old Bikram Tamang of Dolakha Jhyaku Gaurishankar Rural Municipality-4.",['Gaurishankar']
32,33,33,पक्राउ पर्नेमा जोरपाटी बस्ने सिन्धुली दुधौली नगरपालिका–५ का २२ वर्षीय तेज अधिकारी र दोलखा झ्याकु गौरीशंकर गाउँपालिका–४ का ३४ वर्षीय बिक्रम तामाङ रहेका छन्,Yes,['गौरीशंकर'],"Those arrested are 22-year-old Tej Adhikari of Sindhuli Dudhauli Municipality-5, who resides in Jorpati, and 34-year-old Bikram Tamang of Dolakha Jhyaku Gaurishankar Rural Municipality-4.",['Gaurishankar']
33,34,34,नारायणकाजी श्रेष्ठ पनि प्रचण्डको रणनीतिको घेराभित्र अटाएनन्,Yes,['नारायण'],Narayan Kaji Shrestha also didn't fit within Prachanda's strategic circle.,['Narayan']
34,35,35,नारायणकाजी श्रेष्ठ पनि प्रचण्डको रणनीतिको घेराभित्र अटाएनन्,Yes,['नारायण'],Narayan Kaji Shrestha also didn't fit within Prachanda's strategic circle.,['Narayan']
35,36,36,त्यस्तै तत्कालीन पर्यटन मन्त्री जीवनबहादुर शाही र जीतेन्द्रनारायण देव तथा वर्तमान पर्यटन मन्त्री रविन्द्र अधिकारीले अनियमित तरिकाबाट जहाज खरिद प्रक्रिया अगाडि बढ्दा पनि विभागीय मन्त्रीको रूपमा बहाल रहेको अवस्थामा यथेष्ठ सतर्कता नअपनाएको देखिँदा उनीहरूले नैतिक जिम्मेवारी लिनुपर्ने र कानुनसम्मत कारबाही गर्न पनि सम्बद्ध निकायलाई निर्देशन दिएको छ,Yes,['नारायण'],"Similarly, the then Tourism Minister Jeevan Bahadur Shahi and Jitendra Narayan Dev, and the current Tourism Minister Rabindra Adhikari, also did not exercise sufficient caution while remaining in office as departmental ministers even when the process of purchasing the plane was moved forward in an irregular manner, so they should take moral responsibility and the concerned authorities have also been instructed to take legal action.",['Narayan']
