Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,data_eligible,matched_locations,translated_sentence_en,matched_locations_en
0,0,0,"विद्या भट्टराई भन्छिन्– त्यसदिन मैले उहाँ (रवीन्द्र) लाई शुभयात्रा पनि भन्‍न पाइनँ 
पोखरा",Yes,['पोखरा'],Vidya Bhattarai says - That day I didn't even get to wish him (Rabindra) a good journey,['Pokhara']
1,1,1,फागुन १५ गते ताप्लेजुङमा भएको विमान दुर्घटनामा ज्यान गुमाएपछि स्व. अधिकारीको मालेपाटनस्थित घर मौन छ,Yes,"[ 'पाटन', 'ताप्लेजुङ']","After losing his life in the plane crash in Taplejung on February 27, the late Adhikari's house in Malepatan is silent.","['Patan', 'Taplejung']"
2,2,2,छिरिङ ताप्लेजुङ जाने एक दिन अगाडिसम्म पनि हामी गल्फ खेलिरहेका थियौं,Yes,[ 'ताप्लेजुङ'],"Chhiring says, ""Even the day before leaving for Taplejung, we were playing golf.""",['Taplejung']
3,3,3,ऊ पाइलापाइलामा विजनेस पनि देख्ने मान्छे,Yes,['इलाम'],He is the kind of man who sees business in every step.,['Ilam']
4,4,4,"त्यसैले म भन्छु, ताप्लेजुङ दुर्घटनाले तीन क्षेत्रका खम्बा गुमाएको छ",Yes,[ 'ताप्लेजुङ'],"That's why I say, the Taplejung accident has lost three pillars of three sectors.",['Taplejung']
5,5,5,गुल्मीको दर्लिनबाट बुटवलतर्फ जाँदै गरेको लु १ ज १९५७ नम्बरको जीप मुसिकोट नगरपालिका-१ च्यानडाँडामा बिहीबार बिहान झण्डै साढे ७ बजे जीप दुर्घटना हुँदा कांग्रेस नेता भण्डारीसँगै अन्य दुई जनाको पनि ज्यान गएको हो,Yes,['मुसिकोट'],"A jeep, Lu 1 Ja 1957, heading towards Butwal from Darlin of Gulmi, met with an accident at Chyanadanda of Musikot Municipality-1 at around 7:30 AM on Thursday, killing a Congress leader Bhandari and two others.",['Musikot']
6,6,6,गुल्मीको धुर्कोट गाउँपालिका अर्न्तगत पर्ने वस्तु निवासी नेता भण्डारी २०४८ सालको आमनिर्वाचनमा कांग्रेसका तर्फबाट गुल्मी निर्वाचन क्षेत्र नं. ३ बाट प्रतिनिधिसभामा निर्वाचित भएका थिए,Yes,['धुर्कोट'],"Leader Bhandari, a resident of Vastu, which falls under Dhurkot Rural Municipality of Gulmi, was elected to the House of Representatives from Gulmi Constituency No. 3 on behalf of the Congress in the general election of 2048 BS.",['Dhurkot']
7,7,7,भारतबाटसमेत दमकल ल्याएर आगो नियन्त्रणमा ल्याइएको थियो रे,Yes,['दमक'],It is said that even fire trucks were brought from India to control the fire.,['Damak']
8,8,8,"तर, चुनावी मैदानमा होमिन उहाँ चाहनुभएन",Yes,['मैदान'],But he didn't want to plunge into the electoral arena.,['Maidan (Field)']
9,9,9,उहाँले सोनापुरमा पनि जुटमिल खोल्नुभयो,Yes,['सोनापुर'],He also opened a jute mill in Sonapur.,['Sonapur']
10,10,10,"भारतका प्रधानमन्त्री नरेन्द्र मोदीको दोस्रो कार्यकालको शपथ ग्रहणका ... 
सुरुङ्गा (झापा)",Yes,['सुरुङ्गा'],India's Prime Minister Narendra Modi's swearing-in ceremony for his second term...,['Surunga (Note: This is a duplicate of Item 153 with a slightly different script)']
11,11,11,सिन्धुपाल्चोक फुल्पिङकोटको कल्लेरी डाँडोमा एक तमासको सिरेटो चल्थ्यो,Yes,['कल्लेरी'],A kind of cold wind blew on the Kalleeri Danda of Sindhupalchok Fulpingkot.,['Kalleri']
12,12,12,फाँटभरि सेताम्य पोखिएको तुसारोले भक्तपुरमा चिसो बढेको प्रतीत हुन्छ,Yes,['भक्तपुर'],The frost spread all over the field makes it seem that the cold has increased in Bhaktapur.,['Bhaktapur']
13,13,13,"कविता प्रतियोगिता मात्र होइन, हाजिरी जवाफ प्रतियोगितामा समेत जिल्लामा कसैले उनलाई उछिन्न सक्दैनथ्यो",Yes,['जिरी'],"Not only poetry competitions, but no one in the district could surpass him in quiz competitions.",['Jiri']
14,14,14,०३७ सालतिर उनले ‘सरस्वती बन्दना’ शीर्षकमा कविता लेखेका थिए,Yes,['सरस्वती'],"Around 2037 BS, he wrote a poem with the title 'Saraswati Bandana'.",['Saraswati']
15,15,15,"” 
सिन्धुपाल्चोक फुल्पिङकोटको कल्लेरी डाँडोमा एक तमासको सिरेटो चल्थ्यो",Yes,['कल्लेरी'],"""",['Kalleri']
16,16,16,फाँटभरि सेताम्य पोखिएको तुसारोले भक्तपुरमा चिसो बढेको प्रतीत हुन्छ,Yes,['भक्तपुर'],The frost spread all over the field makes it seem that the cold has increased in Bhaktapur.,['Bhaktapur']
